timestamp,date,TEMP,TEMP_180,TEMP_30,DEWP,DEWP_180,DEWP_30,STP,STP_180,STP_30,VISIB,VISIB_180,VISIB_30,WDSP,WDSP_180,WDSP_30,MXSPD,MXSPD_180,MXSPD_30,MAX,MAX_180,MAX_30,MIN,MIN_180,MIN_30,PRCP,PRCP_180,PRCP_30,SNDP,SNDP_180,SNDP_30,FRSHTT,FRSHTT_180,FRSHTT_30
16585596,0723,89.6,56.2,85.4,36.2,29.9,42.6,999.9,871.4,871.4,9.9,9.7,10.0,5.3,7.5,8.9,18.1,16.2,18.9,95.0,125.7,99.5,64.9,43.1,71.5,0.0,0.0,0.0,999.9,905.6,999.9,48,6.4,7.3
16585596,0723,82.3,56.5,85.4,52.0,30.0,42.6,999.9,872.1,871.4,41.0,9.7,10.0,9.6,7.5,8.9,15.9,16.3,18.9,104.0,126.0,99.5,62.2,43.4,71.5,0.02,0.0,0.0,999.9,905.6,999.9,0,6.7,7.3
16585596,0723,82.3,56.8,85.4,44.6,30.2,42.6,999.9,872.8,871.4,9.9,9.9,10.0,10.2,7.5,8.9,20.0,16.3,18.9,99.0,126.3,99.5,64.9,43.6,71.5,0.0,0.0,0.0,999.9,905.6,999.9,0,6.6,7.3
16585596,0723,80.7,57.1,85.4,34.9,30.3,42.6,872.7,873.5,871.4,30.7,9.9,10.0,9.5,7.5,8.9,18.1,16.4,18.9,99.0,126.7,99.5,61.0,43.8,71.5,0.01,0.0,0.0,999.9,905.6,999.9,0,6.6,7.3
16585596,0723,77.1,57.4,85.4,55.6,30.4,42.6,999.9,873.5,871.4,9.7,10.0,10.0,8.1,7.5,8.9,13.0,16.4,18.9,95.0,127.0,99.5,64.9,44.0,71.5,0.0,0.0,0.0,999.9,905.6,999.9,0,6.6,7.3
16585596,0723,88.1,57.6,85.4,57.2,30.6,42.6,999.9,874.1,871.4,20.3,10.0,10.0,5.6,7.6,8.9,31.1,16.4,18.9,93.0,127.3,99.5,66.2,44.3,71.5,0.02,0.0,0.0,999.9,905.6,999.9,0,6.6,7.3
16585596,0723,62.0,58.0,85.4,57.6,30.8,42.6,873.0,874.7,871.4,39.8,10.1,10.0,8.7,7.6,8.9,24.3,16.5,18.9,95.0,127.6,99.5,71.1,44.6,71.5,0.03,0.0,0.0,999.9,905.6,999.9,18,6.6,7.3
16585596,0723,80.9,58.2,85.4,55.6,31.0,42.6,869.5,874.7,871.4,22.3,10.3,10.0,6.4,7.6,8.9,11.1,16.6,18.9,99.0,127.9,99.5,62.1,44.8,71.5,0.0,0.0,0.0,999.9,905.6,999.9,0,6.7,7.3
16585596,0723,79.9,58.4,85.4,45.2,31.2,42.6,869.5,874.7,871.4,10.0,10.3,10.0,4.9,7.6,8.9,24.3,16.6,18.9,93.9,128.2,99.5,73.9,45.1,71.5,0.0,0.0,0.0,999.9,905.6,999.9,0,6.7,7.3
16585596,0723,87.8,58.7,85.4,50.2,31.4,42.6,872.9,874.7,871.4,9.9,10.3,10.0,11.6,7.6,8.9,11.1,16.7,18.9,99.0,128.5,99.5,75.9,45.4,71.5,0.0,0.0,0.0,999.9,905.6,999.9,18,6.7,7.3
16585596,0723,85.4,59.1,85.4,57.5,31.6,42.6,869.5,874.7,871.4,10.0,10.3,10.0,4.9,7.6,8.9,10.1,16.6,18.9,98.1,128.9,99.5,62.1,45.7,71.5,0.03,0.0,0.0,999.9,911.2,999.9,0,6.6,7.3
16585596,0723,86.6,59.4,85.4,41.2,31.8,42.6,871.5,874.6,871.4,9.8,10.3,10.0,10.2,7.6,8.9,13.0,16.7,18.9,95.0,129.2,99.5,66.9,46.0,71.5,0.0,0.0,0.0,999.9,916.7,999.9,0,6.6,7.3
16585596,0723,80.7,59.8,85.4,54.5,32.0,42.6,999.9,874.5,871.4,9.9,10.3,10.0,6.2,7.7,8.9,8.9,16.7,18.9,98.1,129.6,99.5,66.2,46.3,71.5,0.11,0.0,0.0,999.9,916.7,999.9,2,6.6,7.3
16585596,0723,79.9,60.1,85.4,44.6,32.2,42.6,870.0,875.2,871.4,10.0,10.3,10.0,3.7,7.7,8.9,15.0,16.7,18.9,93.9,129.9,99.5,75.0,46.6,71.5,0.0,0.0,0.0,999.9,916.7,999.9,18,6.6,7.3
16585596,0723,82.8,60.4,85.4,55.9,32.3,42.6,872.4,875.1,871.4,10.0,10.3,10.0,6.9,7.7,8.9,15.9,16.7,18.9,93.9,130.2,99.5,66.2,46.9,71.5,0.0,0.0,0.0,999.9,916.7,999.9,18,6.7,7.3
16585596,0723,80.9,60.6,85.4,58.4,32.5,42.6,873.0,875.0,871.4,10.0,10.3,10.0,5.1,7.7,8.9,24.1,16.8,18.9,102.0,130.4,99.5,61.0,47.1,71.5,0.0,0.0,0.0,999.9,916.7,999.9,18,6.8,7.3
16585596,0723,86.6,60.9,85.4,54.1,32.7,42.6,875.8,875.0,871.4,20.3,10.3,10.0,9.9,7.7,8.9,18.1,16.8,18.9,102.0,130.7,99.5,73.9,47.3,71.5,0.0,0.0,0.0,999.9,916.7,999.9,18,6.9,7.3
16585596,0723,78.3,61.2,85.4,52.0,32.9,42.6,872.4,874.9,871.4,10.0,10.4,10.0,6.6,7.7,8.9,15.0,16.9,18.9,100.0,131.0,99.5,71.1,47.6,71.5,0.0,0.0,0.0,999.9,916.7,999.9,0,7.0,7.3
16585596,0723,89.2,61.4,85.4,50.2,33.0,42.6,999.9,874.9,871.4,10.0,10.4,10.0,7.8,7.8,8.9,22.0,16.9,18.9,102.9,131.3,99.5,66.9,47.8,71.5,0.0,0.0,0.0,999.9,916.7,999.9,0,7.0,7.3
16585596,0723,79.3,61.7,85.4,54.6,33.1,42.6,869.5,875.6,871.4,41.0,10.4,10.0,5.6,7.8,8.9,11.1,17.0,18.9,104.0,131.6,99.5,66.0,48.0,71.5,0.15,0.0,0.0,999.9,916.7,999.9,18,7.0,7.3
16585596,0723,81.1,61.9,85.4,44.1,33.3,42.6,875.8,875.5,871.4,30.7,10.6,10.0,6.9,7.8,8.9,18.1,17.0,18.9,104.0,131.9,99.5,57.0,48.3,71.5,0.0,0.0,0.0,999.9,916.7,999.9,18,7.1,7.3
16585596,0723,89.2,62.1,85.4,41.4,33.4,42.6,999.9,875.5,871.4,9.9,10.7,10.0,9.8,7.8,8.9,11.1,17.0,18.9,91.9,132.1,99.5,62.1,48.4,71.5,0.17,0.0,0.0,999.9,916.7,999.9,18,7.2,7.3
16585596,0723,82.3,62.4,85.4,49.2,33.5,42.6,869.6,876.2,871.4,10.0,10.7,10.0,4.9,7.8,8.9,10.1,17.0,18.9,93.9,132.3,99.5,71.1,48.6,71.5,0.0,0.0,0.0,999.9,916.7,999.9,18,7.3,7.3
16585596,0723,79.9,62.6,85.4,44.6,33.7,42.6,999.9,876.2,871.4,14.9,10.7,10.0,8.2,7.8,8.9,14.0,17.0,18.9,95.0,132.5,99.5,54.0,48.9,71.5,0.03,0.0,0.0,999.9,916.7,999.9,18,7.4,7.3
16585596,0723,78.3,62.8,85.4,50.2,33.8,42.6,869.6,877.0,871.4,9.9,10.7,10.0,6.2,7.8,8.9,19.0,17.0,18.9,93.0,132.7,99.5,71.1,49.0,71.5,0.0,0.0,0.0,999.9,916.7,999.9,18,7.4,7.3
16585596,0723,76.7,63.1,85.4,39.9,33.9,42.6,999.9,876.9,871.4,22.2,10.7,10.0,10.2,7.8,8.9,15.9,17.0,18.9,93.0,133.0,99.5,66.9,49.3,71.5,0.0,0.0,0.0,999.9,916.7,999.9,0,7.4,7.3
16585596,0723,76.7,63.3,85.4,50.2,34.0,42.6,999.9,877.6,871.4,10.0,10.8,10.0,6.3,7.8,8.9,8.9,17.0,18.9,89.1,133.3,99.5,75.9,49.5,71.5,0.0,0.0,0.0,999.9,916.7,999.9,18,7.4,7.3
16585596,0723,69.7,63.5,85.4,50.9,34.2,42.6,999.9,878.3,871.4,10.0,10.8,10.0,9.8,7.8,8.9,11.1,17.0,18.9,95.0,133.4,99.5,57.9,49.8,71.5,0.0,0.0,0.0,999.9,916.7,999.9,0,7.5,7.3
16585596,0723,82.8,63.7,85.4,44.1,34.4,42.6,999.9,879.0,871.4,14.9,10.8,10.0,9.5,7.8,8.9,12.0,16.9,18.9,102.9,133.7,99.5,73.0,49.9,71.5,0.0,0.0,0.0,999.9,916.7,999.9,18,7.5,7.3
16585596,0723,78.4,63.9,85.4,48.9,34.5,42.6,870.4,879.8,871.4,10.0,10.8,10.0,9.6,7.8,8.9,10.1,16.9,18.9,98.1,133.9,99.5,59.0,50.2,71.5,0.0,0.0,0.0,999.9,916.7,999.9,48,7.6,7.3
16585596,0723,81.8,64.2,85.4,37.5,34.7,42.6,872.4,879.8,871.4,20.3,10.8,10.0,9.5,7.8,8.9,19.0,16.9,18.9,102.9,134.3,99.5,66.0,50.4,71.5,0.03,0.0,0.0,999.9,922.3,999.9,0,7.6,7.3
16585596,0723,82.3,64.5,85.4,57.5,34.8,42.6,868.1,879.9,871.4,9.9,10.9,10.0,10.2,7.8,8.9,12.0,16.9,18.9,102.9,134.6,99.5,66.0,50.6,71.5,0.0,0.0,0.0,999.9,927.8,999.9,18,7.6,7.3
16585596,0723,62.0,64.8,85.4,41.2,35.1,42.6,872.4,879.8,871.4,10.0,10.9,10.0,6.4,7.9,8.9,11.1,16.9,18.9,91.9,135.0,99.5,73.0,50.9,71.5,0.0,0.0,0.0,999.9,933.4,999.9,0,7.6,7.3
16585596,0723,76.4,65.0,85.4,45.0,35.2,42.6,869.5,879.8,871.4,9.9,10.9,10.0,6.5,7.9,8.9,11.1,16.9,18.9,87.1,135.4,99.5,62.1,51.2,71.5,0.0,0.0,0.0,999.9,938.9,999.9,18,7.4,7.3
16585596,0723,82.3,65.3,85.4,52.0,35.4,42.6,875.8,879.7,871.4,13.5,10.9,10.0,5.6,7.9,8.9,20.0,16.9,18.9,93.9,135.6,99.5,66.0,51.5,71.5,0.01,0.0,0.0,999.9,944.5,999.9,0,7.5,7.3
16585596,0723,86.6,65.6,85.4,54.6,35.6,42.6,873.6,879.7,871.4,10.0,11.0,10.0,8.7,7.9,8.9,19.0,17.0,18.9,95.0,135.9,99.5,71.1,51.8,71.5,0.0,0.0,0.0,999.9,944.5,999.9,18,7.5,7.3
16585596,0723,78.3,65.9,85.4,39.9,35.8,42.6,873.6,879.6,871.4,9.9,11.0,10.0,7.8,7.9,8.9,12.0,17.0,18.9,93.0,136.2,99.5,57.0,52.1,71.5,0.0,0.0,0.0,999.9,944.5,999.9,18,7.6,7.3
16585596,0723,76.4,66.1,85.4,49.2,35.9,42.6,868.1,879.6,871.4,22.2,11.0,10.0,9.9,7.9,8.9,19.0,17.0,18.9,95.0,136.4,99.5,66.2,52.3,71.5,0.0,0.0,0.0,999.9,944.5,999.9,18,7.7,7.3
16585596,0723,88.8,66.3,85.4,50.9,36.0,42.6,866.4,879.5,871.4,9.8,11.0,10.0,10.6,7.9,8.9,22.0,17.1,18.9,104.0,136.5,99.5,73.9,52.5,71.5,0.0,0.0,0.0,999.9,944.5,999.9,0,7.8,7.3
16585596,0723,86.8,66.5,85.4,41.6,36.2,42.6,870.5,879.5,871.4,10.0,11.0,10.0,9.8,8.0,8.9,18.1,17.1,18.9,99.0,136.7,99.5,66.0,52.7,71.5,0.0,0.0,0.0,999.9,944.5,999.9,18,7.8,7.3
16585596,0723,80.9,66.6,85.4,47.2,36.3,42.6,869.7,879.6,871.4,9.8,11.0,10.0,8.8,8.0,8.9,12.0,17.1,18.9,99.0,136.9,99.5,61.0,52.8,71.5,0.15,0.0,0.0,999.9,944.5,999.9,0,7.9,7.3
16585596,0723,69.7,66.8,85.4,33.1,36.3,42.6,870.5,879.6,871.4,13.5,11.0,10.0,9.6,8.0,8.9,11.1,17.1,18.9,93.9,137.1,99.5,64.9,52.9,71.5,0.11,0.0,0.0,999.9,944.5,999.9,16,7.8,7.3
16585596,0723,78.3,67.0,85.4,44.1,36.4,42.6,999.9,879.6,871.4,10.0,11.1,10.0,4.7,8.0,8.9,19.0,17.1,18.9,95.0,137.4,99.5,57.0,53.2,71.5,0.15,0.0,0.0,999.9,950.0,999.9,18,7.6,7.3
16585596,0723,77.5,67.3,85.4,39.9,36.5,42.6,866.4,880.3,871.4,10.0,11.1,10.0,10.2,8.0,8.9,12.0,17.1,18.9,99.0,137.7,99.5,75.9,53.4,71.5,0.0,0.0,0.0,999.9,955.5,999.9,18,7.7,7.3
